 X,    Y,    Z,    H,	slope,Q, AREA,	L, curve,power, downL
-480,    1032,   124.266,   124.266,   0.0415158,   1543.8,   64,   8,   -0.00194459,   64.092,   0
-480,    1040,   124.453,   124.453,   0.03509,   1579.29,   64,   8,   -0.00209765,   55.4172,   0
-480,    1048,   124.551,   124.551,   0.0275673,   1616.73,   64,   8,   -0.00251315,   44.5688,   0
-480,    1056,   124.632,   124.632,   0.0204719,   1653.18,   64,   8,   -0.00297774,   33.8439,   0
-480,    1064,   124.648,   124.648,   0.0214463,   1685.76,   64,   8,   -0.00370881,   36.1533,   0
-480,    1072,   124.845,   124.845,   0.0249858,   1712.93,   64,   8,   -0.00391483,   42.799,   0
-480,    1080,   124.988,   124.988,   0.0253004,   1734.65,   64,   8,   -0.00435297,   43.8874,   0
-480,    1088,   125.138,   125.138,   0.0269147,   1751.66,   64,   8,   -0.00477088,   47.1455,   0
-480,    1096,   125.283,   125.283,   0.0283613,   1764.86,   64,   8,   -0.00517509,   50.0536,   0
-480,    1104,   125.408,   125.408,   0.0302255,   1774.91,   64,   8,   -0.00557279,   53.6477,   0
-480,    1112,   125.498,   125.498,   0.0340059,   1782.27,   64,   8,   -0.00598416,   60.6078,   0
-480,    1120,   125.508,   125.508,   0.0419168,   1787.09,   64,   8,   -0.00654261,   74.9092,   0
-480,    1128,   125.5,   125.5,   0.0522465,   1789.41,   64,   8,   -0.00708371,   93.4905,   0
-480,    1136,   125.547,   125.547,   0.0614903,   1789.27,   64,   8,   -0.00742204,   110.023,   0
-480,    1144,   125.642,   125.642,   0.06877,   1786.86,   64,   8,   -0.00761667,   122.882,   0
-480,    1152,   125.778,   125.778,   0.074815,   1782.62,   64,   8,   -0.00770665,   133.367,   0
-480,    1160,   125.956,   125.956,   0.0801,   1777.07,   64,   8,   -0.00770742,   142.343,   0
-480,    1168,   126.192,   126.192,   0.0846929,   1770.61,   64,   8,   -0.00759514,   149.958,   0
-480,    1176,   126.491,   126.491,   0.0884337,   1763.43,   64,   8,   -0.00739091,   155.947,   0
-480,    1184,   126.914,   126.914,   0.09044,   1755.6,   64,   8,   -0.00695615,   158.777,   0
-480,    1192,   127.478,   127.478,   0.0896719,   1747.15,   64,   8,   -0.00626459,   156.67,   0
-480,    1200,   128.151,   128.151,   0.0865359,   1738.13,   64,   8,   -0.00543855,   150.411,   0
-480,    1208,   128.887,   128.887,   0.0820151,   1728.72,   64,   8,   -0.00460714,   141.781,   0
-480,    1216,   129.636,   129.636,   0.0764818,   1719.08,   64,   8,   -0.0038823,   131.479,   0
-480,    1224,   130.341,   130.341,   0.0668338,   1709.29,   64,   8,   -0.0033477,   114.238,   0
-480,    1232,   130.74,   130.74,   0.0631158,   1699.13,   64,   8,   -0.00381107,   107.242,   0
-480,    1240,   131.325,   131.325,   0.0691358,   1687.96,   64,   8,   -0.00366362,   116.699,   0
-480,    1248,   132.094,   132.094,   0.0647099,   1674.92,   64,   8,   -0.00285285,   108.384,   0
-480,    1256,   132.539,   132.539,   0.0518652,   1659.27,   64,   8,   -0.00292541,   86.0585,   0
-480,    1264,   132.824,   132.824,   0.0437324,   1640.7,   64,   8,   -0.00333897,   71.7518,   0
-480,    1272,   133.081,   133.081,   0.0436469,   1619.14,   64,   8,   -0.00377269,   70.6704,   0
-480,    1280,   133.493,   133.493,   0.0418596,   1594.51,   64,   8,   -0.00367034,   66.7457,   0
-480,    1288,   133.759,   133.759,   0.0358753,   1566.51,   64,   8,   -0.00396882,   56.199,   0
-480,    1296,   134,   134,   0.0320243,   1534.38,   64,   8,   -0.00421833,   49.1374,   0
-480,    1304,   134.213,   134.213,   0.0258642,   1496.94,   64,   8,   -0.00438573,   38.7172,   0
-480,    1312,   134.161,   134.161,   0.030782,   1452.8,   64,   8,   -0.00530149,   44.7201,   0
-480,    1320,   134.368,   134.368,   0.0421441,   1401.13,   64,   8,   -0.00536135,   59.0493,   0
-480,    1328,   134.863,   134.863,   0.0389467,   1342.88,   64,   8,   -0.00448242,   52.3005,   0
-480,    1336,   135.046,   135.046,   0.0333482,   1281.47,   64,   8,   -0.00456206,   42.7347,   0
-480,    1344,   135.376,   135.376,   0.0306278,   1221.79,   64,   8,   -0.00406031,   37.4209,   0
-480,    1352,   135.527,   135.527,   0.0259505,   1167.83,   64,   8,   -0.00407705,   30.3056,   0
-480,    1360,   135.617,   135.617,   0.0286028,   1121.08,   64,   8,   -0.00424809,   32.0661,   0
-480,    1368,   135.692,   135.692,   0.0353772,   1080.98,   64,   8,   -0.00448286,   38.2421,   0
-480,    1376,   135.807,   135.807,   0.0430971,   1046.03,   64,   8,   -0.00465133,   45.081,   0
-480,    1384,   136.064,   136.064,   0.0485958,   1014.8,   64,   8,   -0.00447249,   49.3151,   0
-480,    1392,   136.508,   136.508,   0.0486034,   986.233,   64,   8,   -0.00378888,   47.9343,   0
-480,    1400,   136.971,   136.971,   0.0437076,   959.69,   64,   8,   -0.0030851,   41.9457,   0
-480,    1408,   137.353,   137.353,   0.0385331,   934.858,   64,   8,   -0.00263212,   36.023,   0
-480,    1416,   137.687,   137.687,   0.0346519,   911.652,   64,   8,   -0.00231061,   31.5905,   0
-480,    1424,   137.975,   137.975,   0.0307557,   890.087,   64,   8,   -0.0021087,   27.3753,   0
-480,    1432,   138.211,   138.211,   0.0261234,   870.128,   64,   8,   -0.00202883,   22.7307,   0
